advisoryDa;advisoryNu;stormNum;stormName;ordem;data;area;perimetro;Coluna2;Coluna3;Coluna1
500 AM AST Sat Jun 29 2024;3;2;Beryl;3;29/06/2024 06:00;1,61E+13;8941243242;2,49E-07;0,282094462;628,3136474
800 AM AST Sat Jun 29 2024;3A;2;Beryl;4;29/06/2024 09:00;1,60E+13;8668744215;2,50E-07;0,282094462;610,8581498
1100 AM AST Sat Jun 29 2024;4;2;Beryl;5;29/06/2024 12:00;1,60E+13;8922125952;2,50E-07;0,282094462;630,1268628
200 PM AST Sat Jun 29 2024;4A;2;Beryl;6;29/06/2024 15:00;1,59E+13;8792295001;2,51E-07;0,282094462;621,7873353
500 PM AST Sat Jun 29 2024;5;2;Beryl;7;29/06/2024 18:00;1,61E+13;8986653395;2,49E-07;0,282094462;631,4023412
800 PM AST Sat Jun 29 2024;5A;2;Beryl;8;29/06/2024 21:00;1,60E+13;8768329646;2,50E-07;0,282094462;617,7577279
1100 PM AST Sat Jun 29 2024;6;2;Beryl;9;30/06/2024 00:00;1,60E+13;8919280686;2,50E-07;0,282094462;628,4794756
200 AM AST Sun Jun 30 2024;6A;2;Beryl;10;30/06/2024 03:00;1,60E+13;8700087713;2,50E-07;0,282094462;614,4387621
500 AM AST Sun Jun 30 2024;7;2;Beryl;11;30/06/2024 06:00;1,60E+13;8958334974;2,50E-07;0,282094462;632,2948197
800 AM AST Sun Jun 30 2024;7A;2;Beryl;12;30/06/2024 09:00;1,59E+13;8791500835;2,51E-07;0,282094462;621,6261113
1100 AM AST Sun Jun 30 2024;8;2;Beryl;13;30/06/2024 12:00;1,55E+13;8838788381;2,54E-07;0,282094462;633,7125714
200 PM AST Sun Jun 30 2024;8A;2;Beryl;14;30/06/2024 15:00;1,54E+13;8679143539;2,55E-07;0,282094462;623,3682281
500 PM AST Sun Jun 30 2024;9;2;Beryl;15;30/06/2024 18:00;1,54E+13;8848521942;2,55E-07;0,282094462;636,5853242
800 PM AST Sun Jun 30 2024;9A;2;Beryl;16;30/06/2024 21:00;1,53E+13;8675615637;2,55E-07;0,282094462;625,2160802
1100 PM AST Sun Jun 30 2024;10;2;Beryl;17;01/07/2024 00:00;1,53E+13;8838712536;2,55E-07;0,282094462;636,4055715
200 AM AST Mon Jul 01 2024;10A;2;Beryl;18;01/07/2024 03:00;1,53E+13;8632507611;2,56E-07;0,282094462;623,0648649
500 AM AST Mon Jul 01 2024;11;2;Beryl;19;01/07/2024 06:00;1,46E+13;8611879706;2,61E-07;0,282094462;635,0942298
800 AM AST Mon Jul 01 2024;11A;2;Beryl;20;01/07/2024 09:00;1,46E+13;8467735051;2,62E-07;0,282094462;625,763843
1100 AM AST Mon Jul 01 2024;12;2;Beryl;21;01/07/2024 12:00;1,41E+13;8426179438;2,66E-07;0,282094462;633,2772771
500 PM AST Mon Jul 01 2024;13;2;Beryl;23;01/07/2024 18:00;1,36E+13;8217828197;2,71E-07;0,282094462;628,2077665
1100 PM AST Mon Jul 01 2024;14;2;Beryl;25;02/07/2024 00:00;1,36E+13;8127476615;2,72E-07;0,282094462;622,5290053
200 AM AST Tue Jul 02 2024;14A;2;Beryl;26;02/07/2024 03:00;1,35E+13;7916140824;2,72E-07;0,282094462;608,0694164
500 AM AST Tue Jul 02 2024;15;2;Beryl;27;02/07/2024 06:00;1,29E+13;7779657295;2,79E-07;0,282094462;611,2958491
800 AM AST Tue Jul 02 2024;15A;2;Beryl;28;02/07/2024 09:00;1,28E+13;7550009987;2,80E-07;0,282094462;595,5303818
1100 AM AST Tue Jul 02 2024;16;2;Beryl;29;02/07/2024 12:00;1,25E+13;7577278132;2,82E-07;0,282094462;603,7557297
200 PM AST Tue Jul 02 2024;16A;2;Beryl;30;02/07/2024 15:00;1,25E+13;7353548093;2,83E-07;0,282094462;587,8513436
500 PM EDT Tue Jul 02 2024;17;2;Beryl;31;02/07/2024 18:00;1,21E+13;7410296798;2,88E-07;0,282094462;600,9946646
800 PM EDT Tue Jul 02 2024;17A;2;Beryl;32;02/07/2024 21:00;1,20E+13;7211538390;2,88E-07;0,282094462;586,5424404
1100 PM EDT Tue Jul 02 2024;18;2;Beryl;33;03/07/2024 00:00;1,15E+13;7076520224;2,94E-07;0,282094462;587,7057289
200 AM EDT Wed Jul 03 2024;18A;2;Beryl;34;03/07/2024 03:00;1,15E+13;6912739044;2,95E-07;0,282094462;575,5884132
500 AM EDT Wed Jul 03 2024;19;2;Beryl;35;03/07/2024 06:00;1,10E+13;6809515868;3,01E-07;0,282094462;578,5866396
800 AM EDT Wed Jul 03 2024;19A;2;Beryl;36;03/07/2024 09:00;1,09E+13;6608799024;3,02E-07;0,282094462;563,404141
1100 AM EDT Wed Jul 03 2024;20;2;Beryl;36;03/07/2024 12:00;1,04E+13;6519963515;3,10E-07;0,282094462;570,078214
200 PM EDT Wed Jul 03 2024;20A;2;Beryl;38;03/07/2024 15:00;1,03E+13;6344357186;3,11E-07;0,282094462;556,3928496
500 PM EDT Wed Jul 03 2024;21;2;Beryl;39;03/07/2024 18:00;1,01E+13;6368794327;3,14E-07;0,282094462;564,295006
800 PM EDT Wed Jul 03 2024;21A;2;Beryl;40;03/07/2024 21:00;1,01E+13;6211671926;3,15E-07;0,282094462;552,0581431
1100 PM EDT Wed Jul 03 2024;22;2;Beryl;41;04/07/2024 00:00;9,77E+13;6095715036;1,01E-07;0,282094462;173,9725663
200 AM EDT Thu Jul 04 2024;22A;2;Beryl;42;04/07/2024 03:00;9,70E+13;5899313942;1,02E-07;0,282094462;168,9532218
500 AM EDT Thu Jul 04 2024;23;2;Beryl;43;04/07/2024 06:00;9,33E+13;5827639373;1,04E-07;0,282094462;170,2180774
800 AM EDT Thu Jul 04 2024;23A;2;Beryl;44;04/07/2024 09:00;9,26E+13;5656727341;1,04E-07;0,282094462;165,7884284
1100 AM EDT Thu Jul 04 2024;24;2;Beryl;45;04/07/2024 12:00;9,31E+13;5622559637;1,04E-07;0,282094462;164,360036
